license_code,license_name,license_desc
Affero,GNU Affero General Public License version 3 (AGPL-3.0),https://opensource.org/licenses/AGPL-3.0
ANTLR_License,The 2-Clause BSD License,https://opensource.org/licenses/BSD-2-Clause
apache11,"Apache Software License, version 1.1 (Apache-1.1)",https://opensource.org/licenses/apachepl-1.1.php
Apache20,Apache License 2.0 (Apache-2.0),https://opensource.org/licenses/Apache-2.0
bsd20,The 2-Clause BSD License,https://opensource.org/licenses/BSD-2-Clause
bsd2clasue_license,The 2-Clause BSD License,https://opensource.org/licenses/BSD-2-Clause
bsd3-clauseclearlicense_5086,3-clause BSD License (BSD-3-Clause),https://opensource.org/licenses/BSD-3-Clause
commondevelopmentanddistributioncddl11license,Common Development and Distribution License 1.0 (CDDL-1.0),https://opensource.org/licenses/CDDL-1.0
commonpublic,Common Public Attribution License 1.0 (CPAL-1.0),https://opensource.org/licenses/CPAL-1.0
commonpublicattributionlicense,Common Public Attribution License 1.0 (CPAL-1.0),https://opensource.org/licenses/CPAL-1.0
creativecommonsattribution30license,,
do_what_you_want_v2_license,,
dom4jLicense,,
eclipsepublic,Eclipse Public License 2.0 (EPL-2.0),https://opensource.org/licenses/EPL-2.0
GNU_Classpath_License,,
gnuafferogeneralpubliclicense30,GNU Affero General Public License version 3 (AGPL-3.0),https://opensource.org/licenses/AGPL-3.0
gnugeneralpubliclicensev30only_5111,GNU General Public License version 3 (GPL-3.0),https://opensource.org/licenses/GPL-3.0
gnulessergeneralpubliclicensev21onlyspdx_idlgpl-21_5059,GNU Lesser General Public License version 2.1 (LGPL-2.1),https://opensource.org/licenses/LGPL-2.1
gnulessergeneralpubliclicensev30onlyspdx_idlgpl-30_5060,GNU Lesser General Public License version 3 (LGPL-3.0),https://opensource.org/licenses/LGPL-3.0
gpl20,GNU General Public License version 2 (GPL-2.0),https://opensource.org/licenses/GPL-2.0
gpl20only,GNU General Public License version 2 (GPL-2.0),https://opensource.org/licenses/GPL-2.0
GPL30,GNU General Public License version 3 (GPL-3.0),https://opensource.org/licenses/GPL-3.0
hypersonic,,
indiana_univ_extreme_license,,
javatransactionapi11license,,
Jdom_License,,
jschlicense,,
lgpl21,GNU Lesser General Public License version 2.1 (LGPL-2.1),https://opensource.org/licenses/LGPL-2.1
lgpl3,GNU Lesser General Public License version 3 (LGPL-3.0),https://opensource.org/licenses/LGPL-3.0
microsoftaspnetmodel-view-controllerlicense_5081,,
microsoftnetlibrarylicense_5136,,
microsoftpubliclicensems-pl,Microsoft Public License (MS-PL),https://opensource.org/licenses/MS-PL
mit2,MIT License (MIT),https://opensource.org/licenses/MIT
mozillapubliclicense20,Mozilla Public License 2.0 (MPL-2.0),https://opensource.org/licenses/MPL-2.0
mpl10,Mozilla Public License 1.0 (MPL-1.0),https://opensource.org/licenses/MPL-1.0
mpl11,Mozilla Public License 1.1 (MPL-1.1),https://opensource.org/licenses/MPL-1.1
PostgresSQL_License,The PostgreSQL License (PostgreSQL),https://opensource.org/licenses/PostgreSQL
Ruby,,
sun_cddl,,
sun_javabeans_actfram1.1_license,,
sunbinarycodejre6license,,
SunGPLwithClasspathException,Sun Public License 1.0 (SPL-1.0),https://opensource.org/licenses/SPL-1.0
sunjavabeansactivationframework102license,,
sunjavamessageservice11license,,
w3c,W3C License (W3C),https://opensource.org/licenses/W3C
