obligation_type,obligation_text
Attribution,"All copyright, patent, trademark and attribution notices from the components must be retained.
"
Component Isolation,"The components must remain separable from any proprietary Optum Product or Solution and merely linked or referenced by name or appropriate interface.
"
Internal Use Only,Component(s) or tool(s) may only be used internally.  Any exceptions must be approved on an individual use case basis.
No Modifications,Component(s) may not be modified unless reviewed and approved for a specific use case.
Apache License Distribution,"The full text of the applicable Apache license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Apache license must be distributed with the components as applicable.
"
No Promotion,Neither the organization nor the names of contributors to the components may be used to endorse or promote products derived from  the components without specific prior written permission.
Notice text file,"If the components include a NOTICE text file, it must be retained and distributed with the components."
Source Code,"Component source code and supporting files must be made available in a timely manner to any end user through a reasonable request process.
"
Exclusive Licensing Terms,Customer agreements which provide for component hosting must clearly reference the applicable GPL or LGPL license as the exclusive terms governing use of covered components.
GPL License Distribution,"The full text of the applicable GPL or LGPL license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times."
No Distribution,Components may be used internally or as part of an external facing but internally hosted application or service.  Components may not be distributed without specific use case approval.
Jdom License Distribution,"The full text of the applicable Jdom license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Jdom license must be distributed with the components as applicable.
"
PostgreSQL License Distribution,"The full text of the applicable PostgreSQL license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the PostgreSQL license must be distributed with the components as applicable.
"
BSD License Distribution,"The full text of the applicable BSD license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the BSD license must be distributed with the components as applicable.
"
Ruby License Distribution,"The full text of the applicable Ruby license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Ruby license must be distributed with the components as applicable.
"
CDDL License Distribution,"The full text of the applicable CDDL license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the CDDL license must be distributed with the components as applicable.
"
Common Public License Distribution,"The full text of the applicable Common Public license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Common Public license must be distributed with the components as applicable.
"
Common Public Attribution License Distribution,"The full text of the applicable CPALlicense including warranty disclaimers and all copyright, patent, trademark, exhibits and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the CPAL license including exhibits must be distributed with the components as applicable.
"
Creative Commons License Distribution,"The full text of the applicable Creative Commons license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Creative Commons license must be distributed with the components as applicable.
"
Dom4j License Distribution,"The full text of the applicable dom4j license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the dom4j license must be distributed with the components as applicable.
"
Eclipse Public License Distribution,"The full text of the applicable Eclipse Public license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Eclipse Public license must be distributed with the components as applicable.
"
Object Code Distribution Only,Component(s) may only be distributed in object code (binary) form.
Reverse Engineering,Customer agreements which provide for component hosting must allow reverse engineering  for purposes of debugging only.
Hypersonic SQL License Distribution,"The full text of the applicable Hypersonic SQL license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Hypersonic SQL license must be distributed with the components as applicable.
"
Indiana University Extreme! Lab Software License,"The full text of the applicable Indiana University Extreme! Lab Software license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Indiana University Extreme! Lab Software license must be distributed with the components as applicable."
Java Transaction API License,"The full text of the applicable Java Transaction API license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Java Transaction API license must be distributed with the components as applicable.
"
JCSH License Distribution,"The full text of the applicable JSCH license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the JSCH license must be distributed with the components as applicable.
"
Microsoft License Distribution,"The full text of the applicable Microsoft license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Microsoft license must be distributed with the components as applicable.
"
Microsoft .Net Library License Source,"Please refer to the URL here for the applicable Microsoft .Net Library License as referenced on the NuGET provisioning website:  http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm
"
MSPL License Distribution,"The full text of the applicable MSPL license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the MSPL license must be distributed with the components as applicable.
"
MIT License Distribution,"The full text of the applicable MIT license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the MIT license must be distributed with the components as applicable.
"
Mozilla Public License Distribution,"The full text of the applicable Mozilla Public license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Mozilla Public license must be distributed with the components as applicable.
"
Sun JavaBeans Activation Framework License Distribution,"The full text of the applicable Sun JavaBeans Activation Framework license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Sun JavaBeans Activation Framework  license must be distributed with the components as applicable.
"
"Sun Microsystems, Inc. Binary Code License Distribution","The full text of the applicable Sun Microsystems, Inc. Binary Code License including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the Sun Microsystems, Inc. Binary Code license must be distributed with the components as applicable."
W3C License Distribution,"The full text of the applicable W3C license including warranty disclaimers and all copyright, patent, trademark and attribution notices from the components must be made available for end user review through an appropriate user interface at all times and or a copy of the W3C license must be distributed with the components as applicable.
"
